payment_id,order_id,amount_usd,method
2,2,35.43,card
3,3,37.02,card
4,4,21.24,card
7,7,39.02,card
8,8,214.16,card
9,9,186.49,card
10,10,60.19,card
11,11,196.67,card
12,12,218.62,card
13,13,164.39,card
14,14,98.49,card
15,15,158.15,card
16,16,66.61,card
17,17,68.83,card
18,18,109.27,card
19,19,220.95,card
20,20,107.97,card
23,23,130.98,card
24,24,50.92,card
25,25,155.16,card
34,34,237.51,card
49,49,54.08,card
58,58,77.42,card
59,59,122.45,card
60,60,17.19,card
61,61,249.08,card
62,62,133.88,card
75,75,191.13,card
76,76,218.18,card
77,77,77.7,card
78,78,104.9,card
79,79,67.27,card
80,80,97.17,card
81,81,67.39,card
82,82,92.14,card
83,83,97.52,card
84,84,241.2,card
85,85,155.19,card
86,86,117.55,card
88,88,88.77,card
89,89,134.17,card
90,90,109.56,card
91,91,60.08,card
92,92,174.17,card
93,93,148.74,card
94,94,118.82,card
95,95,126.2,card
96,96,169.83,card
97,97,93.77,card
98,98,173.11,card
99,99,49.63,card
104,104,158.97,card
105,105,115.28,card
106,106,225.84,card
107,107,120.77,card
108,108,194.97,card
109,109,79.53,card
116,116,129.13,card
117,117,185.18,card
118,118,245.47,card
119,119,154.09,card
120,120,166.05,card
133,133,170.46,card
136,136,241.89,card
137,137,197.04,card
138,138,78.07,card
139,139,80.55,card
140,140,148.91,card
141,141,21.74,card
147,147,171.03,card
148,148,139.77,card
149,149,92.74,card
150,150,87.06,card
152,152,244.5,card
153,153,245.42,card
169,169,132.61,card
170,170,155.54,card
171,171,156.87,card
172,172,241.05,card
173,173,152.97,card
174,174,150.42,card
175,175,125.57,card
176,176,242.73,card
177,177,93.33,card
178,178,92.5,card
179,179,170.71,card
180,180,23.62,card
181,181,90.97,card
182,182,218.25,card
189,189,234.17,card
190,190,112.64,card
191,191,72.28,card
196,196,96.1,card
199,199,105.73,card
200,200,131.4,card
206,206,104.3,card
207,207,220.01,card
208,208,70.17,card
221,221,20.16,card
222,222,79.5,card
225,225,162.64,card
226,226,87.6,card
227,227,100.74,card
228,228,46.06,card
229,229,139.75,card
230,230,75.39,card
235,235,152.37,card
236,236,40.46,card
237,237,160.59,card
238,238,230.09,card
243,243,110.91,card
244,244,177.22,card
245,245,238.38,card
246,246,245.52,card
247,247,29.23,card
253,253,18.49,card
258,258,115.17,card
259,259,49.86,card
260,260,163.77,card
261,261,104.51,card
262,262,121.62,card
263,263,201.38,card
264,264,184.4,card
271,271,147.0,card
276,276,159.19,card
300,300,124.03,card
301,301,120.49,card
310,310,81.77,card
311,311,242.41,card
312,312,45.3,card
313,313,87.75,card
314,314,172.48,card
319,319,205.13,card
320,320,25.27,card
322,322,227.43,card
323,323,246.34,card
324,324,197.86,card
325,325,242.07,card
326,326,47.52,card
327,327,220.42,card
328,328,182.18,card
350,350,23.69,card
351,351,223.16,card
360,360,97.61,card
